Drug,Primary indication,Virus,Group,Cell cultures/co-cultures,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Phase IV,Approved,Potential target,Reference,Reference2,Virus Family,Virus Name,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,Mode_of_action,InChI_Key
Rapamycin (Sirolimus),Approved immunosuppressant,BKV,dsDNA,,,,,,,*,,Human MTOR,NCT01624948,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Sunitinib,Approved anticancer,BKV,dsDNA,*,,,,,,,,Human RTKs,PMID:21088155,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB01268,5329102,Broad TK inhibitor,WINHZLLDWRZWRT-ATVHPVEESA-N
ABT-263,Investigational anticancer,BUNV,(-)ssRNA,*,,,,,,,,Human BCL2,PMID:23887633,,Peribunyaviridae,Bunyamwera virus,Bunyamwera fever,22,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Chloroquine,Approved antimalarial,CCHFV,(-)ssRNA,*,,,,,,,,Unknown,PMID: 25796972,,Nairoviridae,Crimean-Congo hemorrhagic fever virus,Crimean-Congo hemorrhagic fever,1,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Chlorpromazine,Approved antipsychotic agent,CCHFV,(-)ssRNA,*,,,,,,,,Clathrin-mediated endocytosis,PMID: 25796972,,Nairoviridae,Crimean-Congo hemorrhagic fever virus,Crimean-Congo hemorrhagic fever,1,DB00477,2726,Inhibits assembly of clathrin-coated pits at the plasma membrane,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
Favipiravir,Approved antiviral,CCHFV,(-)ssRNA,*,,*,,,,,,Viral RNA pol,PMID:29936152,,Nairoviridae,Crimean–Congo hemorrhagic fever virus,Crimean–Congo hemorrhagic fever,1,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Berberine,Investigational anticancer,CHIKV,(+)ssRNA,*,,,,,,,,Unknown,PMID:26752081,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Chloroquine,Approved antimalarial,CHIKV,(+)ssRNA,*,,,,,*,,,Unknown,PMID:29772762; NCT00391313,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Chlorpromazine,Approved antipsychotic agent,CHIKV,(+)ssRNA,*,,,,,,,,Clathrin-mediated endocytosis,PMID: 22205980,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00477,2726,Inhibits assembly of clathrin-coated pits at the plasma membrane,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
Doxycycline,Approved antibacterial,CHIKV,(+)ssRNA,*,,*,,,,,,Human PADI4,PMID:25970853,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00254,54671203,,JBIWCJUYHHGXTC-AKNGSSGZSA-N
Eflornithine,Approved antiprotozoal; withdrawn,CHIKV,(+)ssRNA,*,,,,,,,,Human ODC1,PMID:27535047,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
EIPA (amiloride),Approved anti-arrhythmic,CHIKV,(+)ssRNA,*,,,,,,,,Human SLC9A1,PMID: 31449523,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00594,16231,Epithelial sodium channel inhibitor,XSDQTOBWRPYKKA-UHFFFAOYSA-N
Favipiravir,Approved antiviral,CHIKV,(+)ssRNA,*,,*,,,,,,Viral RNA pol,PMID:28958920,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Hydroxychloroquine,Approved antimalarial,CHIKV,(+)ssRNA,*,,,,,,,,Unknown,PMID:27699657,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB01611,3652,Unclear,XXSMGPRMXLTPCZ-UHFFFAOYSA-N
Isolanid (lanatoside C),Approved antiarrhythmic,CHIKV,(+)ssRNA,*,,,,,,,,Unknown,PMID:25251726,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB13467,3879,Increasing the concentration of intracellular calcium,JAYAGJDXJIDEKI-UHFFFAOYSA-N
Ivermectin,Approved antiprotozoal,CHIKV,(+)ssRNA,*,,,,,,,,Human importins,PMID:26752081,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00602,46936176,Importin ?/?-mediated nuclear import inhibitor,SPBDXSGPUHCETR-CVSKBELMSA-N
Labyrinthopeptin A1,Research compound,CHIKV,(+)ssRNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Togaviridae,Chikungunya virus,Chikungunya fever,6,,,Viral membrane perforation,
Labyrinthopeptin A2,Research compound,CHIKV,(+)ssRNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Togaviridae,Chikungunya virus,Chikungunya fever,6,,,Viral membrane perforation,
Luteolin,Approved anticancer,CHIKV,(+)ssRNA,*,,,,,,,,Unknown,PMID:26003593,,Togaviridae,Chikungunya virus,Chikungunya fever,6,,5280445,,IQPNAANSBPBGFQ-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,CHIKV,(+)ssRNA,*,,,,,,,,Human IMPDH,PMID:21070810,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Nelfinavir,Approved antiviral,CHIKV,(+)ssRNA,*,,,,,,,,Viral protease,https://doi.org/10.1039/C5RA14469H,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00220,64143,HIV protease inhibitor,QAGYKUNXZHXKMR-HKWSIXNMSA-N
Niclosamide,Approved antihelmintic,CHIKV,(+)ssRNA,*,,,,,,,,Multiple,PMID:27742486,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB06803,4477,,
Nitazoxanide,Approved antiprotozoal,CHIKV,(+)ssRNA,*,,,,,,,,Multiple,PMID:27742486,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Ribavirin,Approved antiviral,CHIKV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:30354193,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00811,37542,Nucleoside inhibitor Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Silvestrol,Investigational anticancer,CHIKV,(+)ssRNA,*,,,,,,,,Human EIF4A,PMID:30380742,,Togaviridae,Chikungunya virus,Chikungunya fever,6,,11787114,Inhibitor of translation initiation by targeting the RNA helicase,GVKXFVCXBFGBCD-QKDMMWSPSA-N
Sofosbuvir,Approved antiviral,CHIKV,(+)ssRNA,*,,*,,,,,,Viral RNA pol,PMID:30455237,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB08934,45375808,Nucleotide analog inhibitor of HCV NS5B RNA-dependent RNA polymerase,TTZHDVOVKQGIBA-IQWMDFIBSA-N
Sorafenib,Approved anticancer,CHIKV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:29981794,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB00398,216239,B-Raf; FGFR-1; VEGFR-2 & -3; PDGFR-beta; KIT; and FLT3 inhibitor,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Sunitinib,Approved anticancer,CHIKV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:28240606,PMID: 29298032,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB01268,5329102,Broad TK inhibitor,WINHZLLDWRZWRT-ATVHPVEESA-N
Suramin,Approved antiprotozoal,CHIKV,(+)ssRNA,*,,,,,,,,Multiple,PMID:27581733,,Togaviridae,Chikungunya virus,Chikungunya fever,6,DB04786,5361,Unclear,FIAFUQMPZJWCLV-UHFFFAOYSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),CHIKV,(+)ssRNA,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Togaviridae,Chikungunya virus,Chikungunya fever,6,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Artesunate,Approved antimalarial,CMV,dsDNA,,,,,,*,,,Unknown,NCT00284687,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB09274,6917864,Unclear,FIHJKUPKCHIPAT-AHIGJZGOSA-N
Berberine,Investigational anticancer,CMV,dsDNA,*,,,,,,,,Unknown,PMID:30738836,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Brincidofovir,Investigational antiviral,CMV,dsDNA,,,,,*,*,,,Viral DNA pol,NCT01769170; NCT01143181,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Cidofovir,Approved antiviral,CMV,dsDNA,,,,,*,*,*,*,Viral DNA pol,CID:60613; NCT01866397; DB00369,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Cyclosporine,Approved immunosuppressant,CMV,dsDNA,*,,,,,,*,,Human CYPA,PMID:22238232; NCT02328963,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00091,5284373,Calcineurin inhibitor; allows for inhibition of T cell activation,PMATZTZNYRCHOR-CGLBZJNRSA-N
Eflornithine,Approved antiprotozoal; withdrawn,CMV,dsDNA,*,,,,,,,,Human ODC1,PMID:6283366,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
Emetine,Approved antiprotozoal,CMV,dsDNA,*,,*,,,,,,Human ribosome,PMID:27336364,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Emodin,Investigational anticancer,CMV,dsDNA,*,,,,,,,,Multiple,PMID:25499125,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB07715,3220,,RHMXXJGYXNZAPX-UHFFFAOYSA-N
Filociclovir,Investigational antiviral,CMV,dsDNA,,,,*,,,,,Viral DNA pol,NCT01433835,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB12438,3006048,Dual DNA polymerase/kinase inhibitor; Nucleoside analog,KMUNHOKTIVSFRA-KXFIGUGUSA-N
Foscarnet,Approved antiviral,CMV,dsDNA,,,,,*,*,*,*,Viral DNA pol,CID:3415; DB00529; NCT00947141,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00529,3415,Pyrophosphate analog DNA polymerase inhibitor,ZJAOAACCNHFJAH-UHFFFAOYSA-N
Ganciclovir,Approved antiviral,CMV,dsDNA,,,,*,*,*,*,*,Viral DNA pol,CID:135398740; DB01004; NCT02943057,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB01004,3454,Viral RNA polymerase inhibitor,IRSCQMHQWWYFCW-UHFFFAOYSA-N
Gefitinib,Approved antivcancer,CMV,dsDNA,*,,*,,,,,,Human RTKs,PMID:18329738,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00317,123631,EGFR inhibitor,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Labyrinthopeptin A1,Research compound,CMV,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness,12,,,Viral membrane perforation,
Labyrinthopeptin A2,Research compound,CMV,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness,12,,,Viral membrane perforation,
Leflunomide,Approved immunosuppressant,CMV,dsDNA,*,,,,,,,,Human DHODH,PMID:26652481,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB01097,3899,Pyrimidine synthesis inhibitor,VHOGYURTWQBHIL-UHFFFAOYSA-N
Letermovir,Approved antiviral,CMV,dsDNA,,,,,*,*,,*,Viral terminase,CID:45138674; DB12070; NCT02137772,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB12070,45138674,Inhibitor  the DNA terminase complex of cytomegalovirus activity,FWYSMLBETOMXAG-QHCPKHFHSA-N
Lobucavir,Investigational antiviral,CMV,dsDNA,,,,*,,,,,Viral DNA pol,NCT00002352,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB12531,60786,,GWFOVSGRNGAGDL-FSDSQADBSA-N
Manidipine,Approved antihypertensive,CMV,dsDNA,*,,,,,,,,Multiple,PMID:29274844,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB09238,4008,Calcium channel blocker,ANEBWFXPVPTEET-UHFFFAOYSA-N
Monensin,Approved antibacterial,CMV,dsDNA,*,,,,,,,,Unknown,PMID: 23571549,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Rapamycin (Sirolimus),Approved immunosuppressant,CMV,dsDNA,,,,,,,*,,Human MTOR,NCT02683291,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Salinomycin,Approved antibacterial,CMV,dsDNA,*,,,,,,,,Human ABCs,PMID:23571549,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB11544,3085092,Ionophore,KQXDHUJYNAXLNZ-XQSDOZFQSA-N
Saracatinib,Approved anticancer,CMV,dsDNA,,,,*,,,,,Tyrosine Kinase,PMID: 28237943,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness,12,DB11805,10302451,Unknown,OUKYUETWWIPKQR-UHFFFAOYSA-N
Simvastatin,Approved lipid-lowering,CMV,dsDNA,*,,,,,,,,Human HMGCR,PMID:24976258,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00641,54454,HMG CoA reductase inhibitor,RYMZZMVNJRMUDD-HGQWONQESA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),CMV,dsDNA,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness,12,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Valacyclovir,Approved antiviral,CMV,dsDNA,,,,,,,,*,Viral DNA pol,CID:135398741,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00577,60773, Nucleoside analog DNA polymerase enzyme inhibitor; L-valine ester of aciclovir.,HDOVUKNUBWVHOX-QMMMGPOBSA-N
Verapamil,Approved antiarrhythmic,CMV,dsDNA,*,,,,,,,,Human CACNA1C,PMID:2819886,,Herpesviridae,Cytomegalovirus,Mononucleosis-like illness*,12,DB00661,2520,Voltage-dependent calcium channels inhibitor,SGTNSNPWRIOYBX-UHFFFAOYSA-N
4-HPR (Fenretinide),Approved anticancer,DENV,(+)ssRNA,*,,*,,,,,,Viral RNA pol,PMID:24903662,,Flaviviridae,Dengue virus,Dengue fever,2,DB05076,5288209,Unclear,AKJHMTWEGVYYSE-FXILSDISSA-N
Amiodarone,Approved antiarrhythmic,DENV,(+)ssRNA,*,,,,,,,,Human CYPs,PMID:30791609,,Flaviviridae,Dengue virus,Dengue fever,2,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,DENV,(+)ssRNA,*,,,,,,,,Unknown,PMID:24680954,DB00207 ,Flaviviridae,Dengue virus,Dengue fever,2,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Anisomycin,Investigational,DENV,(+)ssRNA,*,,,,,,,,Bacterial protein and DNA synthesis,PMID: 32081740,,Flaviviridae,Dengue virus,Dengue fever,2,DB07374,253602,Bacterial protein and DNA synthesis inhibitor,YKJYKKNCCRKFSL-RDBSUJKOSA-N
Apoptozole,Research compound,DENV,(+)ssRNA,*,,,,,,,,HSP70,PMID:31967789,,Flaviviridae,Dengue virus,Dengue fever,2,,24894064,Post-entry,ZIMMTPFXOMAJTQ-UHFFFAOYSA-N
Aprotinin,Approved antifibrinilytic,DENV,(+)ssRNA,*,,,,,,,,Multiple,PMID:1707950,,Flaviviridae,Dengue virus,Dengue fever,2,DB06692,53487898,Serine protease inhibitor,ZPNFWUPYTFPOJU-YSFZTAPISA-N
BCX4430 (Galidesivir),Approved antiviral,DENV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:28473729,,Flaviviridae,Dengue virus,Dengue fever,2,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Bepridil,Approved anti-anginal; withdrawn,DENV,(+)ssRNA,*,,,,,,,,Viral glycoproteins,PMID:30791609,,Flaviviridae,Dengue virus,Dengue fever,2,DB01244,2351,Calcium / Potassium / Sodium channel antagonist,UIEATEWHFDRYRU-UHFFFAOYSA-N
Bortezomib,Approved anticancer,DENV,(+)ssRNA,*,,*,,,,,,Human PSMB5,PMID:26565697,,Flaviviridae,Dengue virus,Dengue fever,2,DB00188,387447,Proteasome inhibitor (26S subunit),GXJABQQUPOEUTA-DOTOQJQBSA-N
Brequinar,Investigational anticancer,DENV,(+)ssRNA,*,,,,,,,,Human DHODH,NCT03760666,,Flaviviridae,Dengue virus,Dengue fever,2,DB03523,57030,Dihydroorotate dehydrogenase (DHODH) inhibitor,PZOHOALJQOFNTB-UHFFFAOYSA-M
Chloroquine,Approved antimalarial,DENV,(+)ssRNA,*,,,*,*,,,,Unknown,PMID:25664975; NCT00849602,,Flaviviridae,Dengue virus,Dengue fever,2,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Chlorpromazine,Approved antipsychotic agent,DENV,(+)ssRNA,*,,,,,,,,Clathrin-mediated endocytosis,PMID: 30092029,,Flaviviridae,Dengue virus,Dengue fever,2,DB00477,2726,Inhibits assembly of clathrin-coated pits at the plasma membrane,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
Cyclosporine,Approved immunosuppressant,DENV,(+)ssRNA,*,,,,,,,,Human CYPA,PMID:19451286,,Flaviviridae,Dengue virus,Dengue fever,2,DB00091,5284373,Calcineurin inhibitor; allows for inhibition of T cell activation,PMATZTZNYRCHOR-CGLBZJNRSA-N
Dasatinib,Approved anticancer,DENV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:23616652,,Flaviviridae,Dengue virus,Dengue fever,2,DB01254,3062316,Abl; Src; Kit; EphR... Inhibitor,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Doxycycline,Approved antibacterial,DENV,(+)ssRNA,*,,,,,,,,Human PADI4,PMID:2414227,,Flaviviridae,Dengue virus,Dengue fever,2,DB00254,54671203,,JBIWCJUYHHGXTC-AKNGSSGZSA-N
Eflornithine,Approved antiprotozoal; withdrawn,DENV,(+)ssRNA,*,,,,,,,,Human ODC2,PMID:27535048,,Flaviviridae,Dengue virus,Dengue fever,2,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
Erlotinib,Approved anticancer,DENV,(+)ssRNA,*,,*,,,,,,Human RTKs,PMID:29753658,,Flaviviridae,Dengue virus,Dengue fever,2,DB00530,176870,EGFR inhibitor,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Fluoxetine,Approved antidepressant,DENV,(+)ssRNA,*,,,,,,,,Viral helicase,PMID:27572397,,Flaviviridae,Dengue virus,Dengue fever,2,DB00472,3386,Selective serotonin reuptake inhibitor,RTHCYVBBDHJXIQ-UHFFFAOYSA-N
Fluvastatin,Approved lipid-lowering,DENV,(+)ssRNA,*,,,,,,,,Human HMGCR,PMID:27431377,,Flaviviridae,Dengue virus,Dengue fever,2,DB01095,1548972,Hydroxymethylglutaryl-coenzyme A (HMG-CoA) reductase inhibitor,FJLGEFLZQAZZCD-JUFISIKESA-N
Hydroxychloroquine,Approved antimalarial,DENV,(+)ssRNA,*,,,,,,,,Unknown,PMID:25321315,,Flaviviridae,Dengue virus,Dengue fever,2,DB01611,3652,Unclear,XXSMGPRMXLTPCZ-UHFFFAOYSA-N
Isolanid (lanatoside C),Approved antiarrhythmic,DENV,(+)ssRNA,*,,,,,,,,Unknown,PMID:25251726,,Flaviviridae,Dengue virus,Dengue fever,2,DB13467,3879,Increasing the concentration of intracellular calcium,JAYAGJDXJIDEKI-UHFFFAOYSA-N
